QUEST_LV_0200_20150317_000001	Philip's Soldiers
QUEST_LV_0200_20151116_009742	Datanglah setelah membunuh Rajatoad dengan pergi ke Demon Prison District 1.{nl} Jika kau memang memiliki kemampuan untuk mempelajari teknik advance Wugushi, maka pasti kau dapat melakukannya.
QUEST_LV_0200_20151116_009743	Rajatoad bukanlah lawan yang mudah.{nl} Waspadalah dan kembali kemari.
QUEST_LV_0200_20151116_009744	Sungguh aku harus mengakui kemampuanmu.{nl}
QUEST_LV_0200_20151116_009745	Bagus. Tidak boleh berkilah kan.{nl} Akan kuajarkan Skill Advance Wugushi sesuai janji.
QUEST_LV_0200_20151116_009746	Apakah kau berkata ingin mempelajari teknik Advance Scout?{nl} Kalau begitu kali ini akan kucek kemampuan bertempurmu.{nl} Karena untuk dapat bertahan pada kondisi kritis, kau harus pandai bertarung kan.{nl}
QUEST_LV_0200_20151116_009747	Bunuhlah Deadborn dengan pergi ke Demon Pison District 1.{nl} Ia adalah monster yang sangat kuat, tetapi kau harus dapat menghadapinya, agar layak untuk mempelajari skill advance Scout.
QUEST_LV_0200_20151116_009748	Jika kemampuan bertarung kurang, ketika menghadapai kondisi berbahaya bisa terjadi hasil yang tidak diharapkan.{nl} Kuharapa kau dapat menjaga diri sendiri.
QUEST_LV_0200_20151116_009749	Datanglah setelah membunuh Deadborn dengan pergi ke Demon Prion district 1.{nl}  Merupakan seorang lawan yang tidak mudah, tapi masih bisa dihadapi kan?
QUEST_LV_0200_20151116_009750	Kemampuan tempurpun luar biasa rupanya.{nl}
QUEST_LV_0200_20151116_009751	Kalau begitu langsung akan kuajarkan teknik advance Scout.{nl} Jika kamu maka akan dapat mempelajarinya dengan mudah.
QUEST_LV_0200_20151116_009752	Memberikan damage kepada banyak musuh bersamaan, tetapitidak berarti jika tidak dapat menghabisinya.{nl} Bukankah begitu?
QUEST_LV_0200_20151116_009753	Armor ya? Hmmm..{nl} Kami para Fenceer lebih menekankan kepada apakah dapat mencocokan serangan atau tidak?
QUEST_LV_0200_20151116_009754	Ignas.. Sungguh menyesakkan mengetahui ia bekerja sama dengan Demon.{nl} Apapun yang direncanakannya, akan kuberitahukan rencana jahatnya.
QUEST_LV_0200_20151116_009755	Jika beristirahat sedikit lebih lama, maka akan segera bisa bergerak.{nl} Harus berdoa kepada Goddess agar tidak tertangkap oleh pasukan pengejar sampai saat itu.
QUEST_LV_0200_20151116_009756	Allina… Grazina..{nl} Semoga kalian selamat..
QUEST_LV_0200_20151116_009757	Nah, Telah selese persiapan semuanya.{nl} Sekarang bagaimana melewati Gargoyle itu.
QUEST_LV_0200_20151116_009758	Kudoakan agar rencana anda sukses.{nl} Karena yang kami harapkan juga besar.
QUEST_LV_0200_20151116_009759	Premiere Eminent..{nl} Aku berpikir pasti ada suatu alasan kenapa nama itu selalu diperdebatkan 600 tahun lalu.
QUEST_LV_0200_20151116_009760	Mungkin sesuatu yang berharga disembunyikan di bagian dalam terdalam dari Kastil.{nl} Pergilah dulu. Aku akan segera menyusul.{nl}
QUEST_LV_0200_20151116_009761	Pasukan kerajaan terlalu banyak dibandingkan dugaan.{nl}Hati-hati..Jangan sampai tertangkap, sampai bertemu di dalam.
QUEST_LV_0200_20151116_009762	Pergilah dulu ke Resident Quarter.{nl} Aku akan menyelidiki disini sedikit lagi sebelum pergi menyusul.
QUEST_LV_0200_20151116_009763	Omong-omong scroll-scroll ini apa maksudnya yah.{nl} Sekarang jumlah Demon berlebihan, apakah yang bermaksud mereka jaga waktu itu?
QUEST_LV_0200_20151116_009764	Sstt, jangan berisik.
QUEST_LV_0200_20151116_009765	Bagaimanapun aku pasti akan bertahan dan pergi ke Orsha.{nl}Sehingga nyawa Allina dapat terjaga oleh Lidia Sharpen.
QUEST_LV_0200_20151116_009766	Alangkah baiknya jika cepat menemukan Dark Blue Herb.
QUEST_LV_0200_20151116_009767	Fast Accurate[Fencer Advancement]
QUEST_LV_0200_20151116_009768	Psychokino's Magic Learning[Psychokino Advancement]
QUEST_LV_0200_20151116_009769	Bertanya bisa mempelajarinya dimana
QUEST_LV_0200_20151116_009770	Research of Soul and Felling[Linker Advancement]
QUEST_LV_0200_20151116_009771	Chaos Wizard's Tower[Thaumaturge Advancement]
QUEST_LV_0200_20151116_009772	Berkata kan kembali setelah menghadapinya
QUEST_LV_0200_20151116_009773	Elementalist's Practical Experience[Elementalist Advancement]
QUEST_LV_0200_20151116_009774	Bertanya apakah yang sebaiknya dilakukan
QUEST_LV_0200_20151116_009775	Sapper's Proficiency Proof[Sapper Advancement]
QUEST_LV_0200_20151116_009776	Here and There[Hunter Advancement]
QUEST_LV_0200_20151116_009777	Living Poison[Wugushi Advancement]
QUEST_LV_0200_20151116_009778	Berkata meminta diajari
QUEST_LV_0200_20151116_009779	Mage Tower Scout Mission[Scout Advancement]
QUEST_LV_0200_20151116_009780	Magic Control Test[Thaumaturge Advancement]
QUEST_LV_0200_20151116_009781	Stance Darkness Attribute 
QUEST_LV_0200_20151116_009782	Poison Master[Wugushi Advancement]
QUEST_LV_0200_20151116_009783	Scout's Battle Skill[Scout Advancement]
QUEST_LV_0200_20151116_009784	Entah ada sesuatu apa di dalam tumpukan tanah, sehingga terlihat menumpuk padat{nl}Buatlah sekop dengan menggunakan bahan-bahan di sekitar!
QUEST_LV_0200_20151116_009785	Bicara dengan Fencer Master
QUEST_LV_0200_20151116_009786	Pergilah mencari Fencer Master yang ada di Forest of Prayer
QUEST_LV_0200_20151116_009787	Fencer Master bermaksud untuk mengecek Basic Skill. Bunuhlah monster-monster yang ada di Forest of Prayer dan perlihatkan kemampuanmu.
QUEST_LV_0200_20151116_009788	Melapor kepada Fencer Master
QUEST_LV_0200_20151116_009789	Telah membunuh monster sebanyak yang diminta oleh Fencer Master. Kembalilah kepada Fencer Master.
QUEST_LV_0200_20151116_009790	Membaca seluruh Pyschokino Magic Scroll
QUEST_LV_0200_20151116_009791	Psychokino Master berkata sepertinya jika membaca Psychokino Magic Scroll yang ada di Mage Tower, dapat banyak membantu. Cobalah baca seluruh Magic Scroll Psychokino yang ada di Mage Tower satu per satu, lalu kembalilah.
QUEST_LV_0200_20151116_009792	Mengumpulkan material penelitian dengan membunuh monster di Genar Field dan Manahas
QUEST_LV_0200_20151116_009793	Linker Master sedang melakukan penelitian yang dapat memperkuat sihir dari Linker 1 tingkat. Karena ini adalah pekerjaan memperkuat sihir linker, dapatkanlah Distorted Soul's Determination dari Manahas, dan Chaos Feeling's Fragment dari Genare Field.
QUEST_LV_0200_20151116_009794	%s dari Manahas
QUEST_LV_0200_20151116_009795	%s dari Genar Field
QUEST_LV_0200_20151116_009796	Bunuh monster kuat pada lantai 1 Mage Tower
QUEST_LV_0200_20151116_009797	Thaumaturge mengatakan ia membutuhkan talenta dasar untuk mendapatkan pengertian. Bunuhlah Salamander di lantai 1 Mage Tower.
QUEST_LV_0200_20151116_009798	Bunuh monster kuat yang ada di Escanciu Village
QUEST_LV_0200_20151116_009799	Elementalist Master berkata akan melihat kemampuanmu melalu praktik. Bunuhlah Reaverpede dari Escanciu Village.
QUEST_LV_0200_20151116_009800	Membunuh monster kuat di Owl Burial Ground
QUEST_LV_0200_20151116_009801	Sapper Master berkata untuk membuktikan kemampuan melalui praktik. Perlihatkan kemampuan dengan membunuh BiteRegina di Owl Burial Ground.
QUEST_LV_0200_20151116_009802	Membunuh berbagai monster dari beberapa area
QUEST_LV_0200_20151116_009803	Hunter Sub Master berkata kemampuan untuk menghadapai musuh sangatlah diperlukan. Bunuhlah monster yang ada di Starving Demon's Way, Pilgrim Path, Altar Way, Forest of Prayer, Absymesti Cross Roads.
QUEST_LV_0200_20151116_009804	Menangkap monster tipe Poison dalam Pot. Bunuhlah monster-monster yang ada di Starving Demon's Way
QUEST_LV_0200_20151116_009805	Wugushi Master berkata jika memakai racun monster maka dapat membuat racun yang kuat. Ia berkata harus menangkap monster hidup-hidup, seranglah hingga Hpnya berada di bawah setengah lalu, tangkap dan masukkan kedalam Pot.
QUEST_LV_0200_20151116_009806	Mengintai Mage Tower
QUEST_LV_0200_20151116_009807	Scout Sub Master telah melakukan ujian dengan menyelesaikan pengintaian dengan selamat setelah pergi ke area berbahaya. Pergilah mengintai ke lokasi save di seluruh lantai Mage Tower dan catatlah kondisi yang ada.
QUEST_LV_0200_20151116_009808	Menjalankan Ujian Thaumaturge
QUEST_LV_0200_20151116_009809	Thaumaturge Sub Master mengatakan telah bersiap terlebih dahulu pada Skill Verification. Lalu pergilah ke Laukyme Swamp, lalu lewatilah ujian untuk memindahkan Magic Power Bead ke dalam Verification Magic Circle. Jika Magic Power Bead terlalu jauh atau kekuatan sihir terbagi jika mendekati pilar, maka harus melakukannya kembali dari awal.
QUEST_LV_0200_20151116_009810	Membunuh monster kuat di Poslinkis Forest
QUEST_LV_0200_20151116_009811	Elementalis Master berbicara mengenai Darkness Attribute. Cobalah belajar cara menghadapi Darkness Attribute melalui praktik.
QUEST_LV_0200_20151116_009812	Membunuh monster kuat di Demon Prison District 1
QUEST_LV_0200_20151116_009813	Wugushi master sedang berbicara mengenai kekuatan praktikum. Bunuhlah Rajatoad di Demon Prison District 1.
QUEST_LV_0200_20151116_009814	Scout Master berkata kekuatan bertempur juga penting. Buktikanlah kemampuan dengan membunuh Deadborn pada Demon Prison District 1.
QUEST_LV_0200_20160218_009815	Jika jalan ke Gateway of the Great King aman maka aku akan dapat melihat lebih banyak orang.{nl}
QUEST_LV_0200_20160218_009816	Cataphract sejati adalah pejuang pertama yang bertarung di garis depan.{Nl}Jika sesuatu terjadi di jalanmu, kau hanya harus mengalahkannya.{nl}
QUEST_LV_0200_20160218_009817	Pada akhirnya aku teringat sesuatu.
QUEST_LV_0200_20160218_009818	Ini sangat melegakan untuk mengetahui bahwa abbot aman.{nl}Mataku sampai keluar air mata...
QUEST_LV_0200_20160218_009819	Beberapa dekade lalu, para pencuri menyerang kamp penjaga atau mencuri persediaan secara rahasia.{nl}Mereka dihukum karenanya, tapi aku kira mereka lupa akan hal itu.
QUEST_LV_0200_20160218_009820	Semuanya runtuh dibawah kejamnya aliran waktu...
QUEST_LV_0200_20160218_009821	Keluargaku mampu melewatinya tanpa masalah.{nl}The Royal Army masih memiliki kepercayaan kepadamu, aku tidak berpikir kamu akan tertangkap.{nl}
QUEST_LV_0200_20160218_009822	Aku memiliki begitu banyak yang harus dilakukan menjadi penjaga dan pengurus.{nl}Mengapa aku harus melakukan semuanya sendiri? Namun, aku senang kamu disini untuk membantu.
QUEST_LV_0200_20160218_009823	Untungnya aku tidak bertugas hari itu... Aku berada di party selanjutnya, kau tahu.{nl}Aku akan menyerahkan ini ke kerabatku.
QUEST_LV_0200_20160218_009824	Kemarilah. Tunjukan padaku bagaimana kamu bertarung dengan pedang dan perisai.{nl}Ketahuilah, semua tergantung skillmu, aku bisa mengajarkanmu dengan baik atau bisa saja menolakmu.
QUEST_LV_0200_20160218_009825	Ini bukan tempat untuk bertikai.{nl}Temui aku di Vacant Lot di bawah Kapas Highway.
QUEST_LV_0200_20160218_009826	Kamu memiliki beberapa kebiasaan buruk, tapi ada ruang untuk perbaikan.{nl}Seperti yang kamu tahu, aku seorang guru yang suka menuntut, jadi persiapkan dirimu.
QUEST_LV_0200_20160218_009827	Aku akan mencari valve kedua di Central Control Room sekarang.{nl}Selama yang ini dihancurkan tidak ada yang dapat dilakukan Antares.
QUEST_LV_0200_20160218_009828	Akhirnya.. Sungguh beruntung karena akhirnya dapat menemukan kamu!{nl} Bantulah kami. Goddess Gabija sungguh mengharapkan bantuan dari kamu.{nl}
QUEST_LV_0200_20160218_009829	Di masa lalu, demon telah bertujuan untuk menguasai Mage Tower.{nl}Meskipun, kami selalu mampu menghentikan serangan mereka setiap kali mereka menyerang.{nl}
QUEST_LV_0200_20160218_009830	Tapi sekarang berbeda. Sebagian wizard telah mati dan ada juga yang melarikan diri.{nl}Hanya Gabija dan beberapa penyihir yang masih tersisa di menara, melindunginya.
QUEST_LV_0200_20160218_009831	Para magician dan Goddess Gabija sedang menjaga tower, tetapi.. {nl} Karena sebagian besar Goddess kehilangan kekuatannya juga akibat dari hari Medzio Diena, sekarang sudah hampir mencapai batasannya.{nl}
QUEST_LV_0200_20160218_009832	Kami akan kehilangan Mage Tower jika kami tidak mendapatkan bantuan. Hanya kamu yang dapat menghentikan semua itu.
QUEST_LV_0200_20160218_009833	Tolong, datang ke Karsta Hall Site di Fedimian Suburbs.
QUEST_LV_0200_20160218_009834	Ini adalah pintu masuk ke menara.{nl}Aku tidak akan bisa menggunakan sihir, tapi aku pasti akan membawamu ke Goddess Gabija.{nl}
QUEST_LV_0200_20160218_009835	Gabija belum menghilang seutuhnya.
QUEST_LV_0200_20160218_009836	Untuk melindungi menara dari Demon, dia hanya perlu menyembunyikan dirinya.{nl}
QUEST_LV_0200_20160218_009837	Karena Agailla Flurry tidak pernah menemukan penggantinya, dia mengurus menaranya.{nl}Untuk melindungi sesuatu yang berharga... dia mengorbankan dirinya.
QUEST_LV_0200_20160218_009838	Kamu siap?
QUEST_LV_0200_20160218_009839	Gabija tidak menghilang pada tujuan.{nl}Dia harus melindungi menara ini dari serangan iblis.{nl}Tidak ada pilihan baginya selain untuk pergi.{nl}
QUEST_LV_0200_20160218_009840	Biasanya, cara terbaik untuk bisa diterima sebagai pardoner adalah untuk memberikan kontribusi berupa uang yang banyak.{nl}Tapi, aku pikir menyelesaikan tugas akan lebih baik untuk kamu{nl}
QUEST_LV_0200_20160218_009841	Bawalah benda yang disebut Fire Jar.{nl} Tersebar gosip bahwa para merchant di Fermidian telah melihat Jar itu.
QUEST_LV_0200_20160218_009842	Equipment Merchant Yorgis
QUEST_LV_0200_20160218_009843	Item Merchant Muras
QUEST_LV_0200_20160218_009844	Iya! Ini dia. Bagian bawah lentera terlihat gelap, itu adalah figurku.{nl} Bagaimanapun anda telah diijinkan bergabung sebagai Pardoner.
QUEST_LV_0200_20160218_009845	Psychokinos menunjukkan kekuatan mereka dengan percaya pada kemampuan mereka.{nl}Kamu harus menunjukan berapa banyak kamu percaya pada dirimu untuk mencapai tingkat Psychokino sempurna.
QUEST_LV_0200_20160218_009846	Red Vubbe Fighter di hutan ini pasti akan menjadi lawan kuat untukmu.{nl}Tapi kamu pasti bisa menghadapinya jika kamu percaya pada dirimu.
QUEST_LV_0200_20160218_009847	Jika kamu tidak bisa percaya pada dirimu, siapa yang akan kamu percaya ketika kamu menggunakan kekuatanmu?{nl}Benar kan?
QUEST_LV_0200_20160218_009848	Kemampuanmu sudah lebih besar dari yang kau bayangkan.{nl}Tapi dengan ajaranku, kamu dapat bermimpi mencapai tingkat yang lebih tinggi.
QUEST_LV_0200_20160218_009849	Aku telah menyiapkan hadiah untuk para murid masa depanku di Starving Demon's Way.{nl}Aku pikir kamu akan menyukainya.
QUEST_LV_0200_20160218_009850	Apa hadiahnya kau bilang?{nl}Apa hadiah yang sesuai dengan Necromancer terbaik menurutmu?
QUEST_LV_0200_20160218_009851	Sungguh mengesankan, menjadi seorang Necromancer.{nl}Tapi menggunaka kekuatanmu pada manusia akan dianggap tabu.
QUEST_LV_0200_20160218_009852	Kamu tahu bahwan Pilgrim's Way memegang ajaran dari Maven kan?{nl}Untuk dapat melemparkan kutukan pada manusia seolah-olah awalnya mereka berdosa... Naktis jelas luar biasa.
QUEST_LV_0200_20160218_009853	Ini bukan pertama kalinya para demon menyerang menara, tapi sebelumnya tidak pernah berlangsung selama ini.{nl}Orang-orang diluar percaya Gabija hilang, benar kan?
QUEST_LV_0200_20160218_009854	Terima kasih kepada sekutu kami yang lain aku baik-baik saja.{nl}Aku tidak berpikir Ironbaum akan hancur.
QUEST_LV_0200_20160218_009855	Great Cathedral ini merupakan warisan penting dari Bishop pertama Maven, {nl}serta menjadi lokasi suci revelations.{nl}
QUEST_LV_0200_20160218_009856	Tapi tubuhku menolak untuk meninggalkan tempat ini.{nl}Aku tidak perpikir aku akan berani melakukan misi sakral yang seperti ini.
QUEST_LV_0200_20160218_009857	Jadi kamu sekarang salah satu Rodelero yang kompeten.{nl}Tapi, bagaimana melawan Colimencia.. Yang ada di Greene Family.
QUEST_LV_0200_20160218_009858	Jika kamu bermimpi untuk menjadi Cataphract yang agung, {nl}kamu harus mampu mengalahkan Gaigalas di Tenants' Farm tanpa berkeringat.{nl}Jika kamu mengerti, datang kembali dengan cepat.
QUEST_LV_0200_20160218_009859	Kamu mau advance? Ada sesuatu yang harus kamu lakukan untukku dan itu bukan tes. {nl}Dapatkan kembali indulgensi money dari Aqueduct Bridge Area. Kamu dapat melakukannya kan?
QUEST_LV_0200_20160218_009860	Aku dengar itu hilang di wilayah dekat Aqueduct Bridge Area, jadi tolong temukan itu di Aqueduct Bridge Area.
QUEST_LV_0200_20160218_009861	Pada saat aku tidak tahu harus melakukan apa, Goddess mengirimkanmu.{nl}Btw, selamat atas advance kamu.
QUEST_LV_0200_20160218_009862	Jadi kamu ingin jadi Falconer Master.{nl}Aku tidak tahu burung mana yang nantinya kamu dapatkan, {nl}tapi cara terbaik berinteraksi dengan siapapun adalah melalui makanan.
QUEST_LV_0200_20160218_009863	Apa kamu dapat mengambil daging dari Beast-type monster untuk digunakan sebagai makanan?{nl}Mari kita lihat apa kamu memiliki apa yang diperlukan untuk menjadi Falconer Master.
QUEST_LV_0200_20160218_009864	Semakin kuat monster tersebut, maka jumlah daging yang kamu dapat semakin banyak.{nl}Sebaliknya, monster lemah menjatuhkan sedikit daging.
QUEST_LV_0200_20160218_009865	Sepertinya kamu sudah benar-benar menghancurkan Pot of Silence.{nl}Apakah ada masalah lain?
QUEST_LV_0200_20160218_009866	Sekarang… segera. Akhirnya bisa terlepas..
QUEST_LV_0200_20160218_009867	Kami, Fencers, lebih cepat dari siapapun dan kami membunuh dengan serangan akurat.{nl}Kami mungkin terlihat mencolok, tapi dibalik semua itu ada usaha keras dan terus-menerus.
QUEST_LV_0200_20160218_009868	Menjadi yang terbaik di jalanmu itu sangat mengesankan, ya?{nl}Terutama jika kamu seorang Psychokino.
QUEST_LV_0200_20160218_009869	Untuk seorang sepertimu ujian pertarungan harusnya menjadi hal yang mudah.{nl}Pada titik ini aku pikir itu akan baik untukmu belajar tentang{nl} penelitian yang dilakukan oleh Psychokinos sebelumnya.
QUEST_LV_0200_20160218_009870	Ada sebuah buku yang ditinggalkan oleh Psychokinos dari Mage Tower, dekat Fedimian.{nl}Aku pikir bahwa buku tebal itu bisa berguna untuk kamu.
QUEST_LV_0200_20160218_009871	Menara ini mungkin crawling dengan monster, tapi aku yakin kamu bisa mengatasinya.{nl}Sekarang cepatlah dan dapatkan bukunya.
QUEST_LV_0200_20160218_009872	Kamu mungkin...harus melihat setiap lantai.{nl}Psychokinos tidak mudah untuk mengklasifikasikan, kamu tahu...
QUEST_LV_0200_20160218_009873	Melihat ekspresi kamu sekarang, aku pikir tome yang pasti akan membantu kamu.{nl}
QUEST_LV_0200_20160218_009874	Pastikan untuk menjaganya dalam pikiran.{nl}Yang akan aku ajarkan sekarang hanya untuk membuat perjalanmu menjadi lebih mudah.
QUEST_LV_0200_20160218_009875	Pada akhirnya kamu mencapai level terakhir dari Linker.[nl}Aku baru saja mulai pada pelajaran baru yang mungkin akan berguna untuk kamu.{nl}
QUEST_LV_0200_20160218_009876	Bagaimana jika Linker bisa terhubung bukan hanya dengan spirit tetapi dengan perasaan mereka juga...{nl}Aku pikir ini bisa membuat string of mana yang kuat.{nl}
QUEST_LV_0200_20160218_009877	Apa yang kamu pikirkan?{nl}Anggap saja sebagai tugas terakhirmu dan membatuku dengan penelitianku.{nl}
QUEST_LV_0200_20160218_009878	Terima kasih.{nl}Mari kita lihat...Aku akan memerlukan beberapa jenis jejak semangat dan emosi.{nl}
QUEST_LV_0200_20160218_009879	Dapatkan untukku Crystal of Twisted Soul dari Manahas {nl}dan Shard of Chaotic Emotions dari Genar Field.{nl}Mereka akan jadi objek yang bagus untuk penelitianku tentang spirit dan emosi.
QUEST_LV_0200_20160218_009880	Sepertinya aku akan bisa menyelesaikan penelitianku dalam waktu singkat seperti dengan asisten pembantu.{nl}Ini semua untuk kepentingan Linkers.
QUEST_LV_0200_20160218_009881	Jadi, sementara kami mempersiapkan penelitian, biarkan aku mengajarkan kamu tentang Linker terkuat dari tipe sihir.{nl}Ini menjadi cukup sulit karena itu tahap terakhir, tapi aku memiliki keyakinan bahwa kamu bisa melakukannya.
QUEST_LV_0200_20160218_009882	Thaumaturges, unlike other wizards, focus more on actual battles.{nl}Even if you're trying to learn more magic, which is admirable in itself, {nl}there's only so much I can teach you.
QUEST_LV_0200_20160218_009883	Kamu melakukannya dengan baik.{nl}Pergi ke 1st floor of the Mage Tower dan kalahkan Salamander.
QUEST_LV_0200_20160218_009884	Kadang-kadang belajar dari lawan yang sulit itu penting.
QUEST_LV_0200_20160218_009885	Pergi ke 1st floor of the Mage Tower dan kalahkan Salamander.{nl}Ada sesuatu yang harus kamu pelajari disana. Itulah caraku belajar juga.
QUEST_LV_0200_20160218_009886	Kamu mengesankan{nl}Aku yakin kamu telah belajar sesuatu dari pertempuran ini.{nl}
QUEST_LV_0200_20160218_009887	Ingatlah selau.{nl}Ada sihir yang lebih kuat dari apa yang aku ajarkan, {nl}tapi bahkan sihir yang menurun ke bagaimana kamu menggunakannya.
QUEST_LV_0200_20160218_009888	Aku berharap orang lain bisa bergairah tentang sihir dengan seperti kamu.{nl}Tapi masuk ke sesuatu yang kacau dapat membuatmu terluka juga.
QUEST_LV_0200_20160218_009889	Ya...{nl}Aku pikir yang kamu butuhkan adalah beberapa pengalaman pertarungan tingkat tinggi.{nl}
QUEST_LV_0200_20160218_009890	Aku mendengar Escanciu Village menjadi rumah bagi fierce monster type yang dipanggil Reaverpede.{nl}Mengalahkannya akan menjadi pengalaman berharga bagimu.{nl}
QUEST_LV_0200_20160218_009891	Ini bukan lawan yang mudah, jadi berhati-hatilah.
QUEST_LV_0200_20160218_009892	Elementalist harus menggabungkan sifat unsur yang berbeda.{nl}Jadi semakin beragam pengalaman kamu, semakin baik hasilnya.
QUEST_LV_0200_20160218_009893	Goodjob.{nl} Aku merasa yakin tentang mengajar jenis dari sihir yang lain sekarang.{nl}
QUEST_LV_0200_20160218_009894	Untuk membuktikan dirimu, kamu harus bertarung.{nl}Aku mendengar ada monster berbahaya yang disebut Biteregina di Owl Burial Ground.{nl}
QUEST_LV_0200_20160218_009895	Kamu perlu mampu menghadapi bahaya jika kamu ingin menjadi Sapper terbaik.{nl}Apa yang kau katakan?
QUEST_LV_0200_20160218_009896	Teknik terbaik akan memberikan hasil terbaik.{nl}Aku mengharapkan hal-hal besar darimu.
QUEST_LV_0200_20160218_009897	Skillmu sungguh mengesankan.{nl}Aku berjanji, jika kamu mengikuti ajaranku, kamu akan menjadi Sapper yang agung.
QUEST_LV_0200_20160218_009898	Kamu bilang kamu mau jadi Hunter yang agung?{nl}untuk seseorang seperti kamu, itu tidak terpikirkan.{nl}
QUEST_LV_0200_20160218_009899	Tapi jangan pikir kamu akan melakukan apapun dengan baik.{nl}Pertama, kamu harus melakukan sesuatu untukku, lalu akan ku ajarkan teknik baru padamu.
QUEST_LV_0200_20160218_009900	Sebagai Hunter kamu harus menghadapi monster yang berbeda.{nl}kamu harus mampu menjaga ketenangan didepan setiap lawan.{nl}
QUEST_LV_0200_20160218_009901	Pergi dan kalahkan beberapa monster di Starving Demon's Way, Pilgrim Path, {nl}Altar Way, Forest of Prayer dan Apsimesti Crossroads.
QUEST_LV_0200_20160218_009902	Menjadi pemilih dengan berburu tidak akan membantu pengalaman atau latihanmu. {nl}Untuk mempelajari cara untuk tetap tenang saat menghadapi monster apapun, pergi dan hadapi monster jenis apapun.
QUEST_LV_0200_20160218_009903	Jadi, apa yang kamu bilang?{nl}Aku yakin kamu harus memiliki perasaan tentang ini.{nl}
QUEST_LV_0200_20160218_009904	Baiklah, mulai sekarang hanya lakukan apa yang kukatakan.{nl}Aku akan mengajarkan jalan untuk menjadi Hunter sejati.{nl}
QUEST_LV_0200_20160218_009905	Bagaimana menjadi Wugushi yang kuat?{nl}Bantu aku membuat racun dan aku akan mengajarkan beberapa hal.
QUEST_LV_0200_20160218_009906	Terima kasih.{nl}Aku ingin kamu untuk menangkap beberapa monster beracun di jar ini.{nl}
QUEST_LV_0200_20160218_009907	Ini tidak mudah untuk menjebak mereka.{nl}Kamu harus memastikan mereka cukup lelah, maka kamu dapat menempatkan dalam tolpes.
QUEST_LV_0200_20160218_009908	Kamu dapat membuat racun yang ampuh dari racun monster, kamu lihat.{nl}Tapi bawa mereka hidup-hidup. Jika mereka mati racun akan menghilang dan tidak berguna.
QUEST_LV_0200_20160218_009909	Kita akan belajar teknik Wugushi baru, lalu?{nL}Aku akan menyerang langsung, jadi perhatikanlah.
QUEST_LV_0200_20160218_009910	Kamu bekerja dengan baik, tidak ada keraguan tentang itu.{nl}Terus belajar teknik yang lebih baik maka kamu akan menjadi terkenal.{nl}
QUEST_LV_0200_20160218_009911	Kali ini kita akan menguji kemampuan pengintaianmu.{nl}Yang kamu harus lakukan hanya mengintai tempat yang kuberitahu, paham?
QUEST_LV_0200_20160218_009912	Pergi ke Mage Tower.{nl}Akan kuberitahu lokasinya nanti.{nl}
QUEST_LV_0200_20160218_009913	Survei daerah dan tulis laporan. Ingat setiap lantai memiliki area yang berbeda.{nl}Cobalah untuk tidak melewatkan apapun dan rekam semua yang kamu bisa.
QUEST_LV_0200_20160218_009914	Pekerjaan seorang Scout identik dengan pengintaian.{nl}Dan menyempurnakan skill dasar kamu adalah latihan terbaik yang kamu bisa dapatkan.
QUEST_LV_0200_20160218_009915	Kamu kembali dengan selamat.{nl}Aku lihat kamu tidak hanya lincah tapi kamu punya keterampilan mengintai juga.{nl}
QUEST_LV_0200_20160218_009916	Mari temukan aku jika kamu ingin mempelajari teknik baru. {nl}Dan jangan lupa .. Menyempurnakan keterampilan dasar kamu adalah pelatihan terbaik yang bisa kamu dapatkan.
QUEST_LV_0200_20160218_009917	Thaumaturge terbaik... Aku terkejut kamu sudah pada level yang kamu tuju.{nl}Tapi domain dari Thaumaturge sangat luas. Itu praktis tak terbatas.{nl}
QUEST_LV_0200_20160218_009918	Baiklah. Cukup bicaranya.{nl}Apakah kamu siap untuk menunjukkan seberapa baik kamu mengontrol sihirmu?
QUEST_LV_0200_20160218_009919	Aku memiliki testing site di Laukyme Swamp.{nl}Pergi kesana dan pindahkan Magic Concentration Orbs ke magic detection area.{nl}
QUEST_LV_0200_20160218_009920	Jika kamu kehilangan kontrol sihirmu mereka bisa berakhir ditempat lain, jadi berhati-hatilah.
QUEST_LV_0200_20160218_009921	Aku gunakan untuk latihan seperti itu ketika aku muda.{nl}Sesuatu menjadi kacau setelah Medzio Diena, tapi itu akan baik-baik saja.
QUEST_LV_0200_20160218_009922	Mengesankan.{nl}Aku tahu kamu bisa melakukannya.{nl}
QUEST_LV_0200_20160218_009923	Karena kamu menyelesaikan ujian ini aku akan mengajarkan yang terakhir...{nl}Bagaimana kamu menggunakannya dan mengembangkannya, itu terserah kamu.{nl}
QUEST_LV_0200_20160218_009924	Kami membuat keterbartasan kami sendiri.{nl}Aku dapat melihat kamu merasakan hal yang sama.{nl]{nl}
QUEST_LV_0200_20160218_009925	Menjadi Elementalist tidak berati kamu bisa kontrol semua elemen.{nl}Namun, kita tidak bisa membiarkan itu jadi kelemahan kita.{nl}
QUEST_LV_0200_20160218_009926	Terutama untuk orang sepertimu yang bertujuan untuk Elementalist tingkat atas...{nl}Kamu tidak harus membiarkan hal itu terjadi.{nl}Paham?{nl}
QUEST_LV_0200_20160218_009927	Satu unsur elemen yang kita tidak sering gunakan adalah... darkness.{nl}Aku ingin tahu apakah kemampuan kamu cukup untuk menghadapi elemen tertentu.{nl}
