QUEST_LV_0400_20161005_000001	케도라 상단원 알타
QUEST_LV_0400_20161005_000965	플레쳐 마스터와 한 이야기를 전하는 중
QUEST_LV_0400_20161005_000966	전설의 흔적(8)
QUEST_LV_0400_20161005_000967	마족의 마력을 구하러 간다
QUEST_LV_0400_20161005_000968	제자들을 시키라고 한다
QUEST_LV_0400_20161005_000969	전설의 흔적(9)
QUEST_LV_0400_20161005_000970	빌카스의 정수를 구하러 간다
QUEST_LV_0400_20161005_000971	전설의 흔적(10)
QUEST_LV_0400_20161005_000972	찾는데 동참하겠다고 한다
QUEST_LV_0400_20161005_000973	잘 찾아보라고 한다
QUEST_LV_0400_20161005_000974	전설의 흔적(12)
QUEST_LV_0400_20161005_000975	플레쳐 마스터에게 가서 전해주고 오겠다고 한다
QUEST_LV_0400_20161005_000976	플레세트를 건네 주는 중
QUEST_LV_0400_20161005_000977	메이번의 유지(1)
QUEST_LV_0400_20161005_000978	메이번의 유지(2)
QUEST_LV_0400_20161005_000979	메이번의 유지(3)
QUEST_LV_0400_20161005_000980	기념비를 찾으러 가자고 한다
QUEST_LV_0400_20161005_000981	나중에 일을 돕겠다고 한다
QUEST_LV_0400_20161005_000982	메이번의 유지(5)
QUEST_LV_0400_20161005_000983	린타스와 함께 기념비를 찾으러 간다
QUEST_LV_0400_20161005_000984	혼자 찾으러 가게 한다
QUEST_LV_0400_20161005_000985	메이번의 유지(6)
QUEST_LV_0400_20161005_000986	미탤리 약초를 구해 오겠다고 한다
QUEST_LV_0400_20161005_000987	내가 할 일이 아닌 것 같다고 한다
QUEST_LV_0400_20161005_000988	미탤리 약초 전달 중
QUEST_LV_0400_20161005_000989	메이번의 유지(7)
QUEST_LV_0400_20161005_000990	메이번의 유지(8)
QUEST_LV_0400_20161005_000991	대신 찾아보겠다고 한다
QUEST_LV_0400_20161005_000992	조금 있다가 찾겠다고 한다
QUEST_LV_0400_20161005_000993	메이번의 유지(9)
QUEST_LV_0400_20161005_000994	그러면 어떻게 해야 하느냐고 묻는다
QUEST_LV_0400_20161005_000995	제초 작업(1)
QUEST_LV_0400_20161005_000996	빌카스의 침샘을 구하러 가겠다고 한다
QUEST_LV_0400_20161005_000997	제초 작업(2)
QUEST_LV_0400_20161005_000998	사제 브루나스를 찾으러 가겠다고 한다
QUEST_LV_0400_20161005_000999	기다리면 올 거라고 한다
QUEST_LV_0400_20161005_001000	메이번의 유지(4)
QUEST_LV_0400_20161005_001001	뒤따라 간다
QUEST_LV_0400_20161005_001002	알아서 찾아가라고 한다
QUEST_LV_0400_20161005_001003	앞으로의 계획
QUEST_LV_0400_20161005_001004	앞으로의 계획을 묻는다
QUEST_LV_0400_20161005_001005	제초 작업(3)
QUEST_LV_0400_20161005_001006	지켜본다
QUEST_LV_0400_20161005_001007	전설의 흔적(11)
QUEST_LV_0400_20161005_001008	사라진 아이
QUEST_LV_0400_20161005_001009	찾아봐 줄 테니 짐작가는 곳이 있느냐고 묻는다
QUEST_LV_0400_20161005_001010	다른 사람에게 도움을 구하라고 한다
QUEST_LV_0400_20161005_001011	천막을 수리하는데 필요한 물건
QUEST_LV_0400_20161005_001012	도와줄테니 그 천막 꿰맬 실은 어떻게 구하는지 묻는다
QUEST_LV_0400_20161005_001013	주변에 있는 사람에게 도움을 받으라고 한다
QUEST_LV_0400_20161005_001014	감사는 나중에 하고, 일단 실을 구할 방법이 무엇인지 묻는다
QUEST_LV_0400_20161005_001015	미쉐칸 숲의 난민들(1)
QUEST_LV_0400_20161005_001016	도울 일이 없느냐고 묻는다
QUEST_LV_0400_20161005_001017	스스로 잘 해결해 보라고 한다
QUEST_LV_0400_20161005_001018	미쉐칸 숲의 난민들(2)
QUEST_LV_0400_20161005_001019	방책 수리용 목재를 구할 방법을 묻는다
QUEST_LV_0400_20161005_001020	이제는 스스로 잘 해 보라고 한다
QUEST_LV_0400_20161005_001021	미쉐칸 숲의 난민들(3)
QUEST_LV_0400_20161005_001022	방책 수리를 돕겠다고 한다
QUEST_LV_0400_20161005_001023	그럼 수고하라고 한다
QUEST_LV_0400_20161005_001024	미쉐칸 숲의 난민들(4)
QUEST_LV_0400_20161005_001025	미쉐칸 숲의 난민들(5)
QUEST_LV_0400_20161005_001026	어떻게 란둘린 초를 구할 수 있는지 물어본다
QUEST_LV_0400_20161005_001027	잘 들었다고 한다
QUEST_LV_0400_20161005_001028	미쉐칸 숲의 난민들(6)
QUEST_LV_0400_20161005_001029	자루를 되찾아 오겠다고 한다
QUEST_LV_0400_20161005_001030	미쉐칸 숲의 난민들(7)
QUEST_LV_0400_20161005_001031	몬스터를 몰아내고 농경지를 찾아주겠다고 한다
QUEST_LV_0400_20161005_001032	농경지를 새로 만들라고 한다
QUEST_LV_0400_20161005_001033	잊혀진 피난민들
QUEST_LV_0400_20161005_001034	도움을 청하러 가겠다고 한다.
QUEST_LV_0400_20161005_001035	미쉐칸 숲의 상황을 알리는 중
QUEST_LV_0400_20161005_001036	클라페다의 우스카에게 전달했다고 이야기하는 중
QUEST_LV_0400_20161005_001037	알렘빅 이야기
QUEST_LV_0400_20161005_001038	케도라 상단원 알타와 대화
QUEST_LV_0400_20161005_001039	케도라 상단원 알타가 누군가의 도움을 기다리고 있습니다
QUEST_LV_0400_20161005_001040	기고 용병단 찾기
QUEST_LV_0400_20161005_001041	케도라 상단원 알타는 알렘빅 동굴 내부에서 기고 용병단원을 찾아달라고 부탁했습니다
QUEST_LV_0400_20161005_001042	용병 헤란다와 대화
QUEST_LV_0400_20161005_001043	불안해 보이는 용병 헤란다와 대화하세요
QUEST_LV_0400_20161005_001044	용병 헤란다는 몬스터들에게 좇기고 있다고 합니다. 주변을 둘러봐도 헤란다를 노리는 몬스터는 없어 보이지만 헤란다를 안심시키기 위해 몬스터들을 처치합시다
QUEST_LV_0400_20161005_001045	주변 몬스터들을 충분히 처치했습니다. 용병 헤란다에게 돌아가서 안심시킵시다
QUEST_LV_0400_20161005_001046	주면 몬스터 처치
QUEST_LV_0400_20161005_001047	프리스트 셀베카 찾아가기
QUEST_LV_0400_20161005_001048	용병 헤란다가 알려준 지역으로 이동하여 사제 셀베카를 찾으세요
QUEST_LV_0400_20161005_001049	용병 헤란다에게 돌아가기
QUEST_LV_0400_20161005_001050	프리스트 셀베카는 용병 헤란다를 혼자 두어선 안 된다고 합니다. 헤란다에게 돌아가서 데리고 옵시다
QUEST_LV_0400_20161005_001051	용병 헤란다의 흔적 찾기
QUEST_LV_0400_20161005_001052	프리스트 셀베카의 요청으로 헤란다를 데리러 왔으나 감쪽같이 사라졌습니다. 주변에서 헤란다의 흔적을 찾아보세요
QUEST_LV_0400_20161005_001053	프리스트 셀베카와 대화
QUEST_LV_0400_20161005_001054	용병 헤란다는 찾지 못 했지만 그의 흔적을 여럿 찾았습니다. 프리스트 셀베카에게 돌아가세요
QUEST_LV_0400_20161005_001055	알렘빅 동굴의 프리스트 셀베카가 당신의 도움을 기다리고 있습니다
QUEST_LV_0400_20161005_001056	동굴 러바인러바 처치
QUEST_LV_0400_20161005_001057	프리스트 셀베카는 헤란다의 쪽지에 적힌 미지의 생물에게서 살아남을 방법을 고안했습니다. 모두의 안전을 위해 동굴 러바인러바를 처치하세요
QUEST_LV_0400_20161005_001058	프리스트 셀베카의 제안대로 동굴 러바인러바를 충분히 처치했습니다. 셀베카에게 돌아갑시다
QUEST_LV_0400_20161005_001059	단장 일행 찾기
QUEST_LV_0400_20161005_001060	프리스트 셀베카는 헤란다의 쪽지에서 용병단장 기고 일행의 위치를 알게되었다고 합니다. 셀베카가 알려준 위치로 가봅시다
QUEST_LV_0400_20161005_001061	단장 기고와 대화
QUEST_LV_0400_20161005_001062	사경을 헤매고 있는 단장 기고가 당신의 도움을 기다리고 있습니다
QUEST_LV_0400_20161005_001063	용병단 해독제 회수
QUEST_LV_0400_20161005_001064	단장 기고는 자신은 라바인피드에게 당하여 움직일 수 없다고 합니다. 기고는 전투간에 분실한 해독제를 주변 몬스터로부터 회수해달라고 부탁했습니다
QUEST_LV_0400_20161005_001065	단장 기고에 돌아가기
QUEST_LV_0400_20161005_001066	단장 기고가 부탁한 용병단 해독제를 충분히 회수 했습니다. 기고에게 돌아갑시다
QUEST_LV_0400_20161005_001067	몬스터로부터 %s 회수
QUEST_LV_0400_20161005_001068	프리스트 셀베카에게 돌아가기
QUEST_LV_0400_20161005_001069	단장 기고가 사라졌습니다. 이 사실을 프리스트 셀베카에게 알려주세요
QUEST_LV_0400_20161005_001070	에델린의 흔적 찾기
QUEST_LV_0400_20161005_001071	프리스트 셀베카는 단장 기고가 알려준 곳으로 가서 에델린을 찾아달라고 간청했습니다
QUEST_LV_0400_20161005_001072	라바인피드를 처치했습니다. 그리고 라바인피드에게서 에델린의 것으로 추정되는 목걸이를 발견했습니다. 프리스트 셀베카에게 돌아갑시다
QUEST_LV_0400_20161005_001073	프리스트 셀베카와 대화하세요
QUEST_LV_0400_20161005_001074	케도라 상단원 알타 찾아가기
QUEST_LV_0400_20161005_001075	프리스트 셀베카 연인의 죽음을 받아드리기 힘든 것 같습니다. 셀베카는 케도라 상단원 알타에게 할 말이 있다고 합니다
QUEST_LV_0400_20161005_001076	알렘빅 동굴의 케도라 상단원 알타가 당신의 도움을 기다리고 있습니다
QUEST_LV_0400_20161005_001077	알렘빅 동굴 기록 찾기
QUEST_LV_0400_20161005_001078	케도라 상단원 알타는 또 다른 희생자가 발생하는 걸 막기 위해 알렘빅 동굴에서 벌어진 비극을 상세히 조사하자고 합니다. 알렘빅 동굴을 조사하여 기록으로 보이는 물건들을 찾아봅시다
QUEST_LV_0400_20161005_001079	알렘빅 동굴에 대한 중요한 정보를 많이 찾았습니다. 케도라 상단원 알타에게 알려줍시다
QUEST_LV_0400_20161005_001080	종유석 덩어리 수집
QUEST_LV_0400_20161005_001081	케도라 상단원 알타는 알렘빅 동굴의 몬스터에서 얻은 종유석 덩어리가 이 지역의 비밀을 밝혀줄 중요한 자료가 될 것이라고 합니다. 알렘빅 동굴의 몬스터들을 처치하고 종유석 덩어리를 수집하세요
QUEST_LV_0400_20161005_001082	몬스터들을 처치하고 종유석 덩어리를 충분히 모았습니다. 케도라 상단원 알타에게 돌아가세요
QUEST_LV_0400_20161005_001083	알렘빅 동굴의 몬스터를 처치하여 %s 획득
QUEST_LV_0400_20161005_001084	수수깨끼의 마족장치 제거
QUEST_LV_0400_20161005_001085	케도라 상단원 알타는 알렘빅 동굴에 퍼져있는 마법의 매개체로 추정되는 수수깨끼의 마족장치를 제거해달라고 부탁했습니다
QUEST_LV_0400_20161005_001086	케도라 상단원 알타의 요청대로 수수깨끼의 마족 장치를 충분히 파괴했습니다. 알타에게 돌아가세요
QUEST_LV_0400_20161005_001087	피난민 브랜든과 대화
QUEST_LV_0400_20161005_001088	브랜든은 부상을 입고 꼼짝할 수 없는 상황이라고 합니다. 그를 어떻게 도우면 될지 물어보세요.
QUEST_LV_0400_20161005_001089	튜라스 공터에서 흰꼬리풀을 수집
QUEST_LV_0400_20161005_001090	브랜든은 함정에 걸려 다리를 다친 듯 보입니다. 그의 통증을 완화시켜주기 위해 옆 튜라스 공터에서 진통효과가 있다는 흰꼬리풀을 모아다 주세요.
QUEST_LV_0400_20161005_001091	충분한 양의 흰꼬리풀이 모였습니다. 브랜든에게 전해 주세요.
QUEST_LV_0400_20161005_001092	주변에서 %s을 수집
QUEST_LV_0400_20161005_001093	연이은 함정
QUEST_LV_0400_20161005_001094	함정에 같이 갇힌 몬스터 처치
QUEST_LV_0400_20161005_001095	함정에 갇혀 버렸습니다. 같이 갇히게 된 몬스터들이 난폭해져서 공격해 오고 있으니 그들을 모두 처치하세요.
QUEST_LV_0400_20161005_001096	난폭해진 몬스터 처치
QUEST_LV_0400_20161005_001097	함정에서 빠져나오기
QUEST_LV_0400_20161005_001098	몬스터들을 전멸시켰지만 함정에 그대로 갇힌 채입니다. 수수께끼의 사냥꾼이 함정을 해체할 동안 기다리세요.
QUEST_LV_0400_20161005_001099	수수께끼의 사냥꾼을 추적하기
QUEST_LV_0400_20161005_001100	피난민 브랜든의 말에 따르면 수수께끼의 사냥꾼이 이 곳에서 어떤 음모를 꾸미고 있는지 모릅니다. 그를 찾아 그의 진의를 확인하세요.
QUEST_LV_0400_20161005_001101	수수께끼의 사냥꾼의 뒤를 쫓기
QUEST_LV_0400_20161005_001102	수수께끼의 사냥꾼으로부터 치료를 받았습니다. 그는 자신에 대한 소문을 부정하며 확인하고 싶다면 자신을 따라오라고 합니다. 그를 따라 그의 은신처로 향하세요.
QUEST_LV_0400_20161005_001103	수수께끼의 사냥꾼과 대화
QUEST_LV_0400_20161005_001104	수수께끼의 사냥꾼을 따라 그의 은신처까지 오는 데 성공했습니다. 이제 그로부터 자초지종을 들어보세요.
QUEST_LV_0400_20161005_001105	빌헬마스와 대화
QUEST_LV_0400_20161005_001106	빌헬마스는 괴수를 상대하는 데에 도움이 필요한 듯 보입니다. 그와 대화해보세요.
QUEST_LV_0400_20161005_001107	빌헬마스가 지정한 몬스터 처치
QUEST_LV_0400_20161005_001108	빌헬마스는 불필요한 희생을 막기 위해 실력을 시험해보겠다고 합니다. 그가 지시한대로 주변의 쿠게리들을 해치우고 능력을 보여주세요.
QUEST_LV_0400_20161005_001109	빌헬마스가 제시한 시험과제를 모두 완료하였습니다. 그에게 돌아가 보고하세요.
QUEST_LV_0400_20161005_001110	주변의 쿠게리 처치
QUEST_LV_0400_20161005_001111	까다로운 준비 과정
QUEST_LV_0400_20161005_001112	빌헬마스는 괴수를 상대할 좋은 방법을 모색하고 있는 것 같습니다. 그를 도울 방법을 물어보세요.
QUEST_LV_0400_20161005_001113	쿠게리 토트에게서 자극받은 독주머니 수집
QUEST_LV_0400_20161005_001114	빌헬마스는 먼저 괴수에게 치명상을 입힐 독화살을 준비 하려고 합니다. 그가 요구하는 자극받은 독주머니를 모아 주세요. {nl}자극받은 독주머니는 쿠게리 토트에게 자극제를 뿌린 후 처치하면 얻을 수 있습니다.
QUEST_LV_0400_20161005_001115	필요한 만큼의 독주머니를 모두 모았습니다. 빌헬마스에게 전해주세요.
QUEST_LV_0400_20161005_001116	빌헬마스가 사용하려는 독에는 또 다른 재료가 필요한 모양입니다. 그에게 어떤 재료를 모으면 되는지 물어보세요.
QUEST_LV_0400_20161005_001117	빌헬마스를 노란 투구꽃으로 인도
QUEST_LV_0400_20161005_001118	빌헬마스는 노란 투구꽃이 필요한데 자신이 직접 수집해야 한다고 합니다. 그를 살마스 폭포 주변의 노란 투구꽃이 있는 장소로 인도하세요.
QUEST_LV_0400_20161005_001119	독의 재료가 모두 모인 것 같습니다. 빌헬마스의 은신처로 되돌아가 그와 대화하세요.
QUEST_LV_0400_20161005_001120	독의 재료쪽은 모두 모였지만 함정을 만들기에는 부족한 것이 있는 것 같습니다. 빌헬마스에게 무엇이 필요한지 물어보세요.
QUEST_LV_0400_20161005_001121	쿠게리 소미에게서 마비약 모으기
QUEST_LV_0400_20161005_001122	마비 함정에 들어갈 마비약이 필요하다고 합니다. 쿠게리 소미들을 해치우고 그들이 가지고 다니는 마비약을 모아다 주세요.
QUEST_LV_0400_20161005_001123	충분한 양의 마비약을 모았습니다. 빌헬마스에게 건네주고 함정을 만들게 하세요.
QUEST_LV_0400_20161005_001124	쿠게리 소미에게서 %s을 획득
QUEST_LV_0400_20161005_001125	괴수를 함정으로 몰아넣기
QUEST_LV_0400_20161005_001126	빌헬마스가 마비 함정을 완성한 것 같습니다. 이제 그 함정을 사용할 방법을 물어보세요.
QUEST_LV_0400_20161005_001127	길목에 함정 설치
QUEST_LV_0400_20161005_001128	빌헬마스는 트레달라이 냇가에서 살마스 폭포로 올라가는 길목에 마비 함정을 설치하라고 합니다. 세 함정을 모두 설치 후 괴수의 눈에 띄지 않게 숨으세요.
QUEST_LV_0400_20161005_001129	괴수를 기다리기
QUEST_LV_0400_20161005_001130	마비 함정을 모두 설치했습니다. 괴수가 걸려들기를 기다리며 숨어 있으세요.
QUEST_LV_0400_20161005_001131	괴수의 뒤를 쫓기
QUEST_LV_0400_20161005_001132	괴수는 빌헬마스를 피해 압수프타스 고원 방면으로 달아났습니다. 뒤를 쫓아간 빌헬마스를 따라 괴수를 추적하세요.
QUEST_LV_0400_20161005_001133	괴수와의 마지막 결전
QUEST_LV_0400_20161005_001134	괴수에게 치명상입히기
QUEST_LV_0400_20161005_001135	궁지에 몰린 괴수는 공격해오기 시작했습니다. 빌헬마스와 함께 괴수에게 치명상을 입히세요.
QUEST_LV_0400_20161005_001136	빌헬마스는 부상을 입은 듯 합니다. 우선 그의 상태가 어떤지 물어보세요.
QUEST_LV_0400_20161005_001137	빌헬마스는 더 이상 괴수를 쫓을 수 없는 상태 같습니다. 우선 그와 대화해 보세요.
QUEST_LV_0400_20161005_001138	괴수를 처치
QUEST_LV_0400_20161005_001139	치명상을 입은 괴수는 바이게 언덕으로 도망친 것 같습니다. 바이게 언덕으로 가 싸움의 마무리를 지으세요.
QUEST_LV_0400_20161005_001140	괴수를 처치하는 데 성공하였습니다. 빌헬마스에게 돌아가 그 사실을 전달해 주세요.
QUEST_LV_0400_20161005_001141	에메트숲의 괴수 처치
QUEST_LV_0400_20161005_001142	피난민 밀리아와 대화
QUEST_LV_0400_20161005_001143	피난민 밀리아는 도움을 청할 곳이 마땅치 않아 곤란해 하고 있습니다. 그녀에게 무엇이 문제인지 물어보세요.
QUEST_LV_0400_20161005_001144	리프넛의 꼬리열매 획득
QUEST_LV_0400_20161005_001145	밀리아는 부족한 식량의 임시방편으로 리프넛의 꼬리열매를 모아달라고 합니다. 주변의 노란 리프넛들을 사냥하고 그 꼬리열매를 모아다 주세요.
QUEST_LV_0400_20161005_001146	피난민들에게 필요한 만큼의 열매를 모은 것 같습니다. 밀리아에게 전달해 주세요.
QUEST_LV_0400_20161005_001147	노란 리프넛을 처치하고 %s 모으기
QUEST_LV_0400_20161005_001148	피난민 그렉과 대화
QUEST_LV_0400_20161005_001149	피난민 그렉은 주변의 몬스터가 매우 신경쓰이는 것 같습니다. 그와 대화해 보세요.
QUEST_LV_0400_20161005_001150	단단한 나무막대 수집
QUEST_LV_0400_20161005_001151	그렉은 영주들의 도움을 받기 어려우니 몬스터들로부터 스스로 지킬 방법을 찾겠다고 합니다. 그를 위해 단단한 나무막대를 구해다 주세요.
QUEST_LV_0400_20161005_001152	이 정도면 약한 몬스터들 정도는 상대할 만한 무기가 될 것 같습니다. 그렉에게 나무막대들을 전달해 주세요.
QUEST_LV_0400_20161005_001153	피난민 밀리아는 이대로는 안된다고 생각하는 것 같습니다. 그녀에게 이 숲의 상황을 해결할 방법이 무엇인지 물어보세요.
QUEST_LV_0400_20161005_001154	두 영주의 대화약속 받아내기
QUEST_LV_0400_20161005_001155	밀리아는 두 영주가 어떻게든 대화해서 싸움을 멈추어야 이 숲의 상황이 안정된다고 생각하는 것 같습니다. 위쪽에 머무르는 리우다스 영주와 아래쪽에 머무르는 요쿠바스 영주를 각각 설득해 대화 약속을 받아내세요.
QUEST_LV_0400_20161005_001156	두 영주를 설득하는 데에 성공했습니다. 밀리아에게 이 좋은 소식을 알려 주세요.
QUEST_LV_0400_20161005_001157	리우다스 영주 설득하기
QUEST_LV_0400_20161005_001158	영주 리우다스와 대화
QUEST_LV_0400_20161005_001159	영주 리우다스는 이 곳에 낯선 이가 맴도는 것이 마음에 안 드는 듯 합니다. 먼저 그에게 용건을 확실하게 밝혀주세요.
QUEST_LV_0400_20161005_001160	피스티스 풀의 뿌리 캐기
QUEST_LV_0400_20161005_001161	리우다스는 대화에 응하는 조건으로 자신의 부하들에게 걸린 돌림병 약의 재료를 구해오라고 요구했습니다. 근처에서 자라는 피스티스 풀의 뿌리를 캐세요.
QUEST_LV_0400_20161005_001162	리우다스가 요구한 뿌리를 모두 캐내었습니다. 그에게 뿌리들을 넘겨주세요.
QUEST_LV_0400_20161005_001163	병사들의 돌림병을 낫게 하기 위해서는 아직 부족한 것이 있는 듯 합니다. 영주 리우다스에게 무엇을 더 가져와야 되는지 물어 보세요.
QUEST_LV_0400_20161005_001164	주황 그루머의 다리 수집
QUEST_LV_0400_20161005_001165	먼저 구한 뿌리 즙에 그루머의 다리를 갈아 섞어야 돌림병의 약이 완성되는 듯 합니다. 근처의 주황 그루머를 사냥하고 그 다리를 모아 리우다스에게 전해 주세요.
QUEST_LV_0400_20161005_001166	알맞은 양의 다리를 모을 수 있었습니다. 어서 리우다스에게 전달해 주세요.
QUEST_LV_0400_20161005_001167	주황 그루머를 처치하고 %s 수집
QUEST_LV_0400_20161005_001168	영주 리우다스는 마지막으로 개인적인 일을 부탁하려는 것 같습니다. 그의 부탁을 마저 들어주고 대화 약속을 받아내세요.
QUEST_LV_0400_20161005_001169	상처있는 나무에서 장난감 상자 파내기
QUEST_LV_0400_20161005_001170	리우다스는 어린시절 추억의 장난감 상자를 되찾고자 합니다. 그는 흉터가 있는 나무를 찾으라고 하는데, 이곳의 나무들은 모두 이끼가 덮여 먼저 이끼를 녹일 필요가 있습니다. 붉은 콜리멘의 체액을 모아 아트민티스 공터에 있는 나무의 이끼를 녹여 흉터를 확인하고 그 밑에서 장난감 상자를 찾아 리우다스에게 전해 주세요.
QUEST_LV_0400_20161005_001171	리우다스가 어린 시절 묻어 놓았던 상자를 찾았습니다. 어서 그에게 가져다 주고 대화 약속을 받아내세요.
QUEST_LV_0400_20161005_001172	상처있는 나무 밑에서 %s 파내기
QUEST_LV_0400_20161005_001173	요쿠바스 영주 설득하기
QUEST_LV_0400_20161005_001174	영주 요쿠바스와 대화
QUEST_LV_0400_20161005_001175	피난민들의 부탁에 따라 먼저 요쿠바스 영주에게 말을 걸어 보세요.
QUEST_LV_0400_20161005_001176	로베르타와 대화
QUEST_LV_0400_20161005_001177	화내는 요쿠바스 영주 대신 측근인 로베르타가 대신 이야기를 듣겠다고 합니다. 그녀와 대화해 보세요.
QUEST_LV_0400_20161005_001178	요쿠바스 영주에게 가는 모든 사안은 로베르타를 통해야 되는 것 같습니다. 먼저 그녀가 요구하는 것이 무엇인지 들어보세요.
QUEST_LV_0400_20161005_001179	붉은 콜리멘 처치
QUEST_LV_0400_20161005_001180	로베르타는 영주에게 용건을 전달하고 싶다면 먼저 근처의 콜리멘들을 처치해 줄 것을 요구해 왔습니다. 주변 지역에서 붉은 콜리멘들을 처치하세요.
QUEST_LV_0400_20161005_001181	로베르타가 요구한 숫자의 몬스터를 물리치는 데 성공하였습니다. 이제 그녀에게 자세한 용건을 밝히세요.
QUEST_LV_0400_20161005_001182	로베르타의 부탁대로 %s 처치
QUEST_LV_0400_20161005_001183	로베르타는 대화보다도 피난민들에게 이곳이 요쿠바스 가문의 땅임을 밝히는 데에 주력하는 것 같습니다. 먼저 그녀가 원하는 것부터 물어보세요.
QUEST_LV_0400_20161005_001184	아크메니스 호숫가의 폐허에서 방패 찾기
QUEST_LV_0400_20161005_001185	로베르타는 아크메니스 호숫가의 폐허가 과거 요쿠바스 가문의 고용인이 머무르던 거처라고 합니다. 그곳에서 요쿠바스 문장이 그려진 증거품을 찾아 보세요.
QUEST_LV_0400_20161005_001186	요쿠바스 가문의 방패를 발견하였습니다. 이제 로베르타에게 방패를 건네 주세요.
QUEST_LV_0400_20161005_001187	아무래도 방패로는 피난민들을 납득시키기 부족하다고 생각하는 것 같습니다. 로베르타에게 무엇이 더 필요한지 물어 보세요.
QUEST_LV_0400_20161005_001188	로베르타와 함께 기념비 확인
QUEST_LV_0400_20161005_001189	로베르타는 과거 요쿠바스 가문에서 곳곳에 세워놓은 기념비들이 큰 증거가 될 것이라 생각하고 있습니다. 그녀와 함께 파키투시 오솔길, 스칼다 돌길, 라이프타이 절벽에 기념비들의 상태를 각각 확인하세요.
QUEST_LV_0400_20161005_001190	모든 기념비의 확인이 끝났습니다. 이제 로베르타에게 요쿠바스 영주와 리우다스 영주간의 대화 약속을 받아내세요.
QUEST_LV_0400_20161005_001191	두 영주간의 대화가 시작된 것 같지만 뭔가 분위기가 좋지 않은 듯 합니다. 피난민 밀리아에게 자세한 것을 물어보세요.
QUEST_LV_0400_20161005_001192	두 영주 간의 회합장소로 찾아가기
QUEST_LV_0400_20161005_001193	밀리아는 중앙지역에서 두 영주가 대화를 시작했지만 매우 험악한 분위기 같아 보였다고 합니다. 두 영주의 회합장소로 가 어떻게 흘러가는지 지켜보세요.
QUEST_LV_0400_20161005_001194	두 영주의 뒤를 쫓기
QUEST_LV_0400_20161005_001195	두 영주는 부하들을 이끌고 몬스터들이 습격해 왔다는 곳으로 달려갔습니다. 서둘러 그 뒤를 쫓아가세요.
QUEST_LV_0400_20161005_001196	두 영주를 몬스터로부터 구하기
QUEST_LV_0400_20161005_001197	두 영주가 부하들을 모두 잃고 위기에 처한 것 같습니다. 두 영주를 습격하는 몬스터들을 모두 물리치고 그들을 구해내세요.
QUEST_LV_0400_20161005_001198	영주들은 간신히 목숨을 건졌습니다. 리우다스 영주와 대화해 보세요.
QUEST_LV_0400_20161005_001199	영주들을 위협하는 몬스터 처치
QUEST_LV_0400_20161005_001200	리우다스 영주는 심경의 변화가 생긴 듯 합니다. 그를 설득해 보세요.
QUEST_LV_0400_20161005_001201	리우다스 영주는 요쿠바스 영주만 동의한다면 협상할 뜻을 내비쳤습니다. 이제 요쿠바스 영주의 의사를 물어보세요.
QUEST_LV_0400_20161005_001202	위기에서 벗어난 두 영주는 서로 경계를 다시 정하기로 결정한 듯 합니다. 리우다스 영주에게 보다 자세한 이야기를 들어보세요.
QUEST_LV_0400_20161005_001203	인드라야와 대화
QUEST_LV_0400_20161005_001204	모험가 인드라야는 부상당한 동료와 함께 몬스터를 피해 숨어있는 것 같습니다. 그녀에게 뭔가 도울 것이 있는지 물어보세요.
QUEST_LV_0400_20161005_001205	실라 민들레의 이슬 수집
QUEST_LV_0400_20161005_001206	인드라야는 몬스터들을 물리기 위한 약물을 만들기 위해 물이 필요하다고 합니다. 물 대신 실라 민들레의 봉오리에 모이는 이슬을 모아다 건네 주세요.
QUEST_LV_0400_20161005_001207	이 정도면 약물을 만들기에 넉넉한 양이 될 것 같습니다. 모은 이슬을 인드라야에게 건네 주세요.
QUEST_LV_0400_20161005_001208	주변에서 %s 모으기
QUEST_LV_0400_20161005_001209	인드라야는 계시자의 정체를 간파하고 왕국을 위해 자신을 도와달라고 합니다. 그녀가 무슨 부탁을 하는지 들어보세요.
QUEST_LV_0400_20161005_001210	쿠게리 자비와 쿠게리 저이니 처치
QUEST_LV_0400_20161005_001211	인드라야는 마족의 사주를 받아 자신들을 추격하고 있는 쿠게리 부족을 막아 달라고 부탁했습니다. 주변의 쿠게리 저이니와 쿠게리 자비를 처치하세요.
QUEST_LV_0400_20161005_001212	당장 인드라야를 추적중인 쿠게리 부족을 모두 처치한 것 같습니다. 인드라야에게 되돌아가세요.
QUEST_LV_0400_20161005_001213	쿠게리 저이니와 쿠게리 자비 처치
QUEST_LV_0400_20161005_001214	쿠게리 자비를 쓰러뜨리자 마족의 지령서가 품 안에서 나왔습니다. 인드라야라면 내용을 짐작할 수 있을지도 모르니 그녀에게 가져다 주세요.
QUEST_LV_0400_20161005_001215	인드라야는 가져다 준 지령서를 해석하는 데 실패한 듯 합니다. 하지만 아직 포기하지 않은 듯 하니 그녀와 다시 대화해 보세요.
QUEST_LV_0400_20161005_001216	쿠게리 자비로부터 마족의 지령서를 습득
QUEST_LV_0400_20161005_001217	인드라야는 다른 지령서들을 좀 더 모아 비교하면서 조사하면 자신의 능력으로도 의미를 추측할 수 있을 것 같다고 합니다. 그녀를 위해 지령서를 더 모아다 주세요.
QUEST_LV_0400_20161005_001218	인드라야가 요구한 숫자의 지령서를 모았습니다. 그녀가 해석할 수 있도록 전달해 주세요.
