ETC_20150317_000001	케파
ETC_20160224_020585	TREE OF SAVIOR 를 건네준다 ({COUNT}/{MAX})
ETC_20160224_020586	{TEXT} 알파벳을 획득하셨습니다!
ETC_20160224_020587	음식 찌꺼기를 5개 챙겼습니다
ETC_20160224_020588	 개
ETC_20160224_020589	하루갈이 탈출했습니다{nl}( 
ETC_20160224_020590	면역효과 없이 공격하여 피해를 입었습니다!
ETC_20160224_020591	붕괴의 구체
ETC_20160224_020592	대지의 탑에 대하여
ETC_20160224_020593	제미나 여신에 대하여
ETC_20160224_020594	롤로펜서 구간을 시작한다
ETC_20160224_020595	대지의 탑의 기원에 대해 물어본다
ETC_20160224_020596	여신이 어디에 있는지 물어본다
ETC_20160224_020597	교환할 물건을 보여달라고 한다
ETC_20160224_020598	케도라 상단에 대해 물어본다
ETC_20160224_020599	유물 수집상에 대해 물어본다
ETC_20160224_020600	대지의 기운이 사라지고 있습니다
ETC_20160224_020601	대지의 기운이 차오르고 있습니다
ETC_20160224_020602	마족의 기운이 복원되고 있습니다
ETC_20160224_020603	마족의 기운이 정화되고 있습니다
ETC_20160224_020604	빛의 기운이 흩어지고 있습니다
ETC_20160224_020605	빛의 기운이 모여들고 있습니다
ETC_20160224_020606	마력이 사라지고 있습니다
ETC_20160224_020607	마력이 모이고 있습니다
ETC_20160224_020608	 님이 신성한 기운 효과를 얻었습니다
ETC_20160224_020609	필요한 물건이니 줄 수 없냐고 한다
ETC_20160224_020610	아무일도 아니라고 한다
ETC_20160224_020611	룬 스톤 수집 중
ETC_20160224_020612	상자 뒤지는 중
ETC_20160224_020613	뽑아본다
ETC_20160224_020614	뽑아내는 중
ETC_20160224_020615	왕의 고원에서만 사용할 수 있습니다
ETC_20160224_020616	미하일이 쓰러졌습니다
ETC_20160224_020617	주변에 자신 소유의 아이템이 없습니다.
ETC_20160224_020618	파티에 전쟁 관계인 길드원이 속해있습니다. 파티에 참여할 수 없습니다.
ETC_20160224_020619	파티에 해당 유저와 전쟁 관계인 길드원이 속해있습니다. 파티에 초대할 수 없습니다.
ETC_20160224_020620	해당 맵에서는 파티 탈퇴를 할 수 없습니다.
ETC_20160224_020621	해당 맵에서는 파티 리더를 변경 할 수 없습니다.
ETC_20160224_020622	길드 마스터만 사용 가능한 기능입니다.
ETC_20160224_020623	전쟁 상태에서는 길드를 탈퇴할 수 없습니다.
ETC_20160224_020624	길드 보스 사냥
ETC_20160224_020625	{Name1}길드가 {Name2}길드에게 전쟁을 선포했습니다.
ETC_20160224_020626	전쟁 취소
ETC_20160224_020627	정말 길드 전쟁을 취소하시겠습니까?
ETC_20160224_020628	길드 전쟁은 선포후 {Minute}분 후에 취소 가능합니다.
ETC_20160224_020629	{Name1}길드가 {Name2}길드에게 전쟁 선포를 취소했습니다.
ETC_20160224_020630	전쟁을 선포한 쪽만 취소가 가능합니다.
ETC_20160224_020631	{Name}길드와 전쟁시간이 {Time}남았습니다.
ETC_20160224_020632	길드타워가 {Name}길드에게 공격받고 있습니다.
ETC_20160224_020633	{Name1}길드와 {Name2}길드의 전쟁이 종료되었습니다.
ETC_20160224_020634	{Name1}길드가 {Name2}길드의 타워를 파괴하였습니다.
ETC_20160224_020635	{Name}길드에게 파괴당함.
ETC_20160224_020636	적대
ETC_20160224_020637	재건 가능까지 남은시간
ETC_20160224_020638	아직 재건이 불가능합니다.
ETC_20160224_020639	길드원 {Name}이 {FromGuild}의 {From}에게 당했습니다.
ETC_20160224_020640	길드원 {Name}이 {TargetGuild}의 {Target}을 처치했습니다.
ETC_20160224_020641	휴전중엔 전쟁취소가 불가능합니다.
ETC_20160224_020642	길드 보관함에 아이템을 획득했습니다.
ETC_20160224_020643	아이템을 수령할 길드원을 선택하세요.
ETC_20160224_020644	전쟁중엔 타워를 다시 건설할 수 없습니다.
ETC_20160224_020645	타워가 파괴당하여 {Minute}분 후 밖으로 이동됩니다.
ETC_20160224_020646	재건 가능
ETC_20160224_020647	길드이벤트{nl}{GuildEvent}를 시작하시겠습니까?
ETC_20160224_020648	길드 보관함 수령 아이템
ETC_20160224_020649	필요한 티켓의 갯수가 부족합니다.
ETC_20160224_020650	길드 아지트 내에서만 사용할 수 있습니다.
ETC_20160224_020651	토큰의 거래 가능 횟수가 {Value}만큼 차감됩니다. 계속하시겠습니까?
ETC_20160224_020652	마우스 왼쪽 버튼으로 아이템을 선택해주세요.
ETC_20160224_020653	전쟁중엔 타워를 철거할 수 없습니다.
ETC_20160224_020654	거래 가능한 아이템 개수를 초과하여 등록할 수 없습니다.
ETC_20160224_020655	착용 중인 아이템은 인챈트 아이템으로 각성 시킬 수 없습니다.
ETC_20160224_020656	해당 아이템을 팀 창고에 넣으면{nl}포텐셜이 감소합니다.{nl}하지만 팀 창고에서 꺼낼땐 포텐셜이 감소하지 않습니다.{nl}그래도 넣으시겠습니까?
ETC_20160224_020657	해당 아이템을 팀 창고에 넣으면{nl}거래 가능한 아이템의 수량만큼 차감됩니다.{nl}그래도 넣으시겠습니까?
ETC_20160224_020658	거래 가능 횟수가 부족합니다.
ETC_20160224_020659	때리기류
ETC_20160224_020660	때리기류 방어력
ETC_20160224_020661	인챈트 옵션
ETC_20160224_020662	콜렉션은 팀단위로 공유되며, 한번 추가한 아이템은 되돌려 받을 수 없습니다. 아이템을 넣으시겠습니까?
ETC_20160224_020663	이미 등록되어 있는 제작서입니다.
ETC_20160224_020664	제작서가 등록되었습니다.
ETC_20160224_020665	보호모드 적용
ETC_20160224_020666	강제 킥
ETC_20160224_020667	이동하기
ETC_20160224_020668	해당 캐릭터는 좋아요를 받을 수 있는 상태가 아닙니다.
ETC_20160224_020669	현재 지역에서 전투 불능 시, 소지 중인 젬 일부를 유실할 수 있습니다.
ETC_20160224_020670	현재 지역에서 전투 불능 시, 소지 중인 젬 일부와 실버를 유실할 수 있습니다.
ETC_20160224_020671	이 게임을 관전하시겠습니까?
ETC_20160224_020672	현재 보유 포인트
ETC_20160224_020673	총 구매 예정 포인트
ETC_20160224_020674	레벨에 따라 차등
ETC_20160224_020675	하루에 구매 가능한 수량을 초과했습니다.
ETC_20160224_020676	하루 구매 가능 수량 : {Count}개
ETC_20160224_020677	팀배틀리그 챔피언
ETC_20160224_020678	팀배틀리그 {Rank}위
ETC_20160224_020679	{Rank}랭크 이상만 참여 가능합니다.
ETC_20160224_020680	상대가 전투 불능 상태입니다.
ETC_20160224_020681	매일 {HOUR}시에 초기화되며 {COUNT}회 입장할 수 있습니다.
ETC_20160224_020682	(토큰 혜택으로 {COUNT}번 추가 입장 하실 수 있습니다.)
ETC_20160224_020683	나뭇잎 채집
ETC_20160224_020684	부식된 나뭇잎을 획득했습니다!
ETC_20160224_020685	부식된 나뭇잎을 이미 소지하고 있습니다!
ETC_20160224_020686	아직은 상자를 열 수 없습니다!
ETC_20160224_020687	의뢰주에 대해
ETC_20160224_020688	이미 등록된 카드입니다.
ETC_20160224_020689	카드 속성을 확인해주세요.
ETC_20160224_020690	토큰 혜택이 적용중이지 않아, 개인 거래가 불가능합니다.
ETC_20160224_020691	거래 가능 횟수
ETC_20160224_020692	거래 가능 횟수가 남지 않았습니다.
ETC_20160224_020693	대상의 거래 가능 횟수가 남지 않았습니다.
ETC_20160224_020694	전체 스탯을 초기화 시킵니다.
ETC_20160224_020695	토큰 이용자만 이용할 수 있습니다.
ETC_20160224_020696	난민 살랴모나스
ETC_20160224_020697	난민 렐렌
ETC_20160224_020698	촌장 프레제
ETC_20160224_020699	난민 앨리유스
ETC_20160224_020700	상인 시모나스
ETC_20160224_020701	상인 펠리시아
ETC_20160224_020702	파견병 바질리우스
ETC_20160224_020703	파견병 라달
ETC_20160224_020704	파견병 슬락
ETC_20160224_020705	영주 대리인
ETC_20160224_020706	마법도구
ETC_20160224_020707	크란토 텐트
ETC_20160224_020708	파견병
ETC_20160224_020709	부상당한 파견병
ETC_20160224_020710	부상당한 난민
ETC_20160224_020711	팀 배틀리그{nl}     발리스
ETC_20160224_020712	[케도라 상단]{nl}  유물 수집상
ETC_20160224_020713	대지의 탑 알림판
ETC_20160224_020714	[룬캐스터 마스터]{nl}      쉘리 페닝튼
ETC_20160224_020715	2팀 승리
ETC_20160224_020716	1팀 승리
ETC_20160224_020717	왕릉 노역자 숙소에서 고르카스가 뛰쳐나옵니다!{nl}고르카스를 처치하세요!
ETC_20160224_020718	토르벤타가 나타났습니다
ETC_20160224_020719	마족 수감소에서 탈출한 마족들을 처치하세요
ETC_20160224_020720	벨피드가 마족수감소 진입을 저지합니다{nl}벨피드를 처치하세요!
ETC_20160224_020721	하루갈이 나타났습니다!
ETC_20160224_020722	보스가 등장했습니다!
ETC_20160224_020723	맵 중앙에 워프 마법진이 발동 되었습니다!
ETC_20160224_020724	종료 5분 전 입니다!! 
ETC_20160224_020725	완료 시
ETC_20160224_020726	30초 후 입구로 돌아갑니다
ETC_20160224_020727	철문이 제거 되었습니다.
ETC_20160224_020728	마을가기
ETC_20160224_020729	입구로 돌아가기
ETC_20160224_020730	인던 종료 5분전 입니다!
ETC_20160224_020731	보스 처치
ETC_20160224_020732	30초 후 입구로 돌아갑니다!
ETC_20160224_020733	오픈
ETC_20160224_020734	가시덤불이 사라졌습니다!
ETC_20160224_020735	가시숲 관문
ETC_20160224_020736	마지막 관문이 열렸습니다!!
ETC_20160224_020737	가시 문
ETC_20160224_020738	열림
ETC_20160224_020739	가시 문이 열렸습니다!
ETC_20160224_020740	5분동안 피라콘으로부터 
ETC_20160224_020741	마법사의 탑 미션 성공!
ETC_20160224_020742	길드레이드 보상이 지급되었습니다{nl}60초 후 마법사의 탑 4층으로 돌아갑니다
ETC_20160224_020743	제미나 여신상을 지키면서{nl}키르멜리치를 처치하세요!
ETC_20160224_020744	소환진
ETC_20160224_020745	세 개 소환진을 모두 파괴하세요!
ETC_20160224_020746	몬스터를 처치하면 등장하는{nl} 듀라한을 처치하세요!
ETC_20160224_020747	모든 몬스터를 처치하세요!
ETC_20160224_020748	파괴된 부우크
ETC_20160224_020749	루이나와 대화해 의뢰 내용을 확인하세요!
ETC_20160224_020750	아래쪽에서 다급한 비명이 들립니다!
ETC_20160224_020751	루이나를 안전한 곳까지 지켜주세요!
ETC_20160224_020752	몬스터를 처치하고 폭탄 재료를 수집하세요!
ETC_20160224_020753	나뭇잎 더미
ETC_20160224_020754	부식된 나뭇잎 채집하세요!
ETC_20160224_020755	벨로차드를 처치하세요!
ETC_20160224_020756	루이나에게 폭탄 재료를 전달하세요!
ETC_20160224_020757	게이트
ETC_20160224_020758	에하트를 처치하세요!
ETC_20160224_020759	툼로드를 처치하세요!
ETC_20160224_020760	양쪽 방의 왕릉 큐브를 공격해 활성화 시키세요!
ETC_20160224_020761	미노타우로스를 처치하세요!
ETC_20160224_020762	왕릉 게이트의 큐브를 공격해 게이트를 작동시키세요!
ETC_20160224_020763	모든 몬스터를 처치해 툼로드를 깨우세요!
ETC_20160224_020764	중앙의 왕릉 큐브를 공격해 활성화시켜서 쉬나임을 깨우세요!
ETC_20160224_020765	대지의 탑 롤로펜서 구간에 입장했습니다
ETC_20160224_020766	롤로펜서 구간 입장
ETC_20160224_020767	큐폴 루타를 기다리고 있습니다
ETC_20160224_020768	20초 후 1층으로 향하는 통로가 열립니다
ETC_20160224_020769	1층으로 이동
ETC_20160224_020770	대지의 탑 1층로 이동하세요
ETC_20160224_020771	대지의 탑 1층
ETC_20160224_020772	곧 대지의 탑 1층 임무가 시작됩니다
ETC_20160224_020773	대지의 탑 1층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020774	대지의 탑 2층
ETC_20160224_020775	대지의 탑 임무 실패!{nl}30초 후에 퇴장합니다
ETC_20160224_020776	첫 번째 목표가 시작되었습니다{nl}제한 시간 내에 몬스터 150마리를 처치하세요
ETC_20160224_020777	남은 몬스터
ETC_20160224_020778	몬스터 150마리 처치
ETC_20160224_020779	곧 대지의 탑 10층 임무가 시작됩니다
ETC_20160224_020780	첫 번째 목표가 시작되었습니다{nl}고사리우스를 처치하세요
ETC_20160224_020781	고사리우스가 부하들을 불러들입니다
ETC_20160224_020782	고사리우스 처치
ETC_20160224_020783	파티 리더가 선택 중입니다
ETC_20160224_020784	대기시간
ETC_20160224_020785	파티 리더가 다음 임무에 도전했습니다{nl}11층으로 이동하세요
ETC_20160224_020786	대지의 탑 11층
ETC_20160224_020787	파티 리더가 도전을 포기했습니다.{nl}보상을 받고 이스토라 유적지로 돌아갑니다
ETC_20160224_020788	퇴장 중
ETC_20160224_020789	곧 대지의 탑 11층 임무가 시작됩니다
ETC_20160224_020790	대지의 탑 11층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020791	대지의 탑 12층
ETC_20160224_020792	첫 번째 목표가 시작되었습니다{nl}제한 시간 내에 몬스터 180마리를 처치하세요
ETC_20160224_020793	몬스터 180마리 처치
ETC_20160224_020794	곧 대지의 탑 12층 임무가 시작됩니다
ETC_20160224_020795	천체구
ETC_20160224_020796	대지의 탑 12층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020797	대지의 탑 13층
ETC_20160224_020798	첫 번째 목표가 시작되었습니다{nl}천체구가 파괴되지 않도록 보호하세요
ETC_20160224_020799	천체구 보호
ETC_20160224_020800	곧 대지의 탑 13층 임무가 시작됩니다
ETC_20160224_020801	불쾌한 벌레알
ETC_20160224_020802	대지의 탑 13층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020803	대지의 탑 14층
ETC_20160224_020804	첫 번째 목표가 시작되었습니다{nl}불쾌한 벌레알을 파괴하세요
ETC_20160224_020805	면역 효과를 지닌 페이그 내니가 나타났습니다
ETC_20160224_020806	불쾌한 벌레알 파괴
ETC_20160224_020807	곧 대지의 탑 14층 임무가 시작됩니다
ETC_20160224_020808	대지의 탑 14층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020809	대지의 탑 15층
ETC_20160224_020810	첫 번째 목표가 시작되었습니다{nl}몬스터들로부터 살아남으세요
ETC_20160224_020811	빛의 기운 200 회복시키기
ETC_20160224_020812	곧 대지의 탑 15층 임무가 시작됩니다
ETC_20160224_020813	첫 번째 목표가 시작되었습니다{nl}투르타이를 처치하세요
ETC_20160224_020814	투르타이가 부하들을 불러들였습니다
ETC_20160224_020815	투르타이 처치
ETC_20160224_020816	파티 리더가 다음 임무에 도전했습니다{nl}16층으로 이동하세요
ETC_20160224_020817	대지의 탑 16층
ETC_20160224_020818	곧 대지의 탑 16층 임무가 시작됩니다
ETC_20160224_020819	대지의 탑 16층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020820	대지의 탑 17층
ETC_20160224_020821	첫 번째 목표가 시작되었습니다{nl}제한 시간 내에 몬스터 195마리를 처치하세요
ETC_20160224_020822	몬스터 195마리 처치
ETC_20160224_020823	곧 대지의 탑 17층 임무가 시작됩니다
ETC_20160224_020824	불완전한 별의 수정
ETC_20160224_020825	대지의 탑 17층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020826	대지의 탑 18층
ETC_20160224_020827	첫 번째 목표가 시작되었습니다
ETC_20160224_020828	불안정한 기운
ETC_20160224_020829	불완전한 별의 수정 보호
ETC_20160224_020830	곧 대지의 탑 18층 임무가 시작됩니다
ETC_20160224_020831	붕괴의 마정석
ETC_20160224_020832	대지의 탑 18층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020833	대지의 탑 19층
ETC_20160224_020834	첫 번째 목표가 시작되었습니다{nl}붕괴의 마정석을 모두 파괴하세요
ETC_20160224_020835	두 번째 목표가 시작되었습니다
ETC_20160224_020836	붕괴의 마정석 파괴
ETC_20160224_020837	곧 대지의 탑 19층 임무가 시작됩니다
ETC_20160224_020838	대지의 탑 19층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020839	대지의 탑 20층
ETC_20160224_020840	첫 번째 목표가 시작되었습니다{nl}270동안 살아남으세요
ETC_20160224_020841	테라 프리즌커터가 등장했습니다{nl}주기적으로 SP를 흡수합니다
ETC_20160224_020842	마력 200 충전
ETC_20160224_020843	곧 대지의 탑 2층 임무가 시작됩니다
ETC_20160224_020844	대지의 탑 2층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020845	대지의 탑 3층
ETC_20160224_020846	첫 번째 목표가 시작되었습니다{nl}몬스터들로부터 270초 동안 천체구를 보호하세요
ETC_20160224_020847	몬스터들이 더 많이 몰려옵니다!
ETC_20160224_020848	곧 대지의 탑 20층 임무가 시작됩니다
ETC_20160224_020849	첫 번째 목표가 시작되었습니다{nl}급을 처치하세요
ETC_20160224_020850	급의 부하들이 나타났습니다
ETC_20160224_020851	급의 부하들이 더 많이 나타났습니다
ETC_20160224_020852	급 처치
ETC_20160224_020853	대지의 탑 롤로펜서 구간의 목표를 모두 완료했습니다{nl}120초 후에 이스토라 유적지로 돌아갑니다
ETC_20160224_020854	곧 대지의 탑 3층 임무가 시작됩니다
ETC_20160224_020855	대지의 탑 3층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020856	대지의 탑 4층
ETC_20160224_020857	첫 번째 목표가 시작되었습니다{nl}270초 안에 판토 토템을 파괴하세요
ETC_20160224_020858	사악한 망령을 처치하여 
ETC_20160224_020859	을 받으세요
ETC_20160224_020860	몬스터들이 몰려옵니다
ETC_20160224_020861	몬스터들이 더 거세게 몰려옵니다
ETC_20160224_020862	판토 토템 파괴
ETC_20160224_020863	곧 대지의 탑 4층 임무가 시작됩니다
ETC_20160224_020864	대지의 탑 4층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020865	대지의 탑 5층
ETC_20160224_020866	첫 번째 목표가 시작되었습니다{nl}몬스터들의 공격으로부터 270초간 살아남으세요
ETC_20160224_020867	테라 실바그리핀이 공격해옵니다
ETC_20160224_020868	대지의 기운 200 회복
ETC_20160224_020869	곧 대지의 탑 5층 임무가 시작됩니다
ETC_20160224_020870	첫 번째 목표가 시작되었습니다{nl}파이로에고를 처치하세요
ETC_20160224_020871	파티 리더가 다음 임무에 도전했습니다{nl}6층으로 이동하세요
ETC_20160224_020872	대지의 탑 6층
ETC_20160224_020873	곧 대지의 탑 6층 임무가 시작됩니다
ETC_20160224_020874	대지의 탑 6층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020875	대지의 탑 7층
ETC_20160224_020876	첫 번째 목표가 시작되었습니다{nl}제한 시간 내에 몬스터 165마리를 처치하세요
ETC_20160224_020877	몬스터 165마리 처치
ETC_20160224_020878	곧 대지의 탑 7층 임무가 시작됩니다
ETC_20160224_020879	별의 수정
ETC_20160224_020880	대지의 탑 7층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020881	대지의 탑 8층
ETC_20160224_020882	첫 번째 목표가 시작되었습니다{nl}별의 수정을 보호하며 별의 기운과 함께 별의 수정을 충전하세요
ETC_20160224_020883	별의 수정을 파괴하기 위해 몬스터들이 나타났습니다
ETC_20160224_020884	다급해진 마족들이 총공세를 펼칩니다
ETC_20160224_020885	별의 수정 보호
ETC_20160224_020886	곧 대지의 탑 8층 임무가 시작됩니다
ETC_20160224_020887	대지의 탑 8층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020888	대지의 탑 9층
ETC_20160224_020889	첫 번째 목표가 시작되었습니다{nl}마족 소환석을 파괴하세요
ETC_20160224_020890	거부의 힘이 생성되었습니다
ETC_20160224_020891	거부의 힘
ETC_20160224_020892	마족 소환석 파괴
ETC_20160224_020893	곧 대지의 탑 9층 임무가 시작됩니다
ETC_20160224_020894	대지의 탑 9층 임무 성공!{nl}다음 층으로 이동하세요
ETC_20160224_020895	대지의 탑 10층
ETC_20160224_020896	첫 번째 목표가 시작되었습니다{nl}몬스터들이 몰려듭니다
ETC_20160224_020897	불안정한 전이틈새가 나타났습니다
ETC_20160224_020898	마족의 기운 200 정화
ETC_20160224_020899	가구더미를 파괴해 길을 뚫으세요!
ETC_20160224_020900	3분간 횃불을 지키세요!
ETC_20160224_020901	보스 몬스터들을 처치하세요!
ETC_20160310_020902	푸른 리테리스
ETC_20160310_020903	갈색 리테리스
ETC_20160310_020904	오.. 신수시여..
ETC_20160310_020905	그들은 배신자입니다.
ETC_20160310_020906	신수시여.. 저희를 구원해주소서..
ETC_20160310_020907	저희를 구원하소서..
ETC_20160310_020908	오.. 신수시여
ETC_20160310_020909	신수의 은혜입니다.
ETC_20160310_020910	신수를 믿습니다.
ETC_20160310_020911	마족들이 나타났습니다!
ETC_20160310_020912	마족들로부터 마을 주민을 지키세요!
ETC_20160310_020913	이만하면 적당히 모인 것 같네요.
ETC_20160310_020914	사제 도미니카스
ETC_20160310_020915	지..진정하세요.. 여러분!
ETC_20160310_020916	오오.. 신수님..
ETC_20160310_020917	으..으악!
ETC_20160310_020918	저 자가 오고 나서 마족에게 습격 받았어!
ETC_20160310_020919	불경한 자가 신성한 벽을 넘어갔다!
ETC_20160310_020920	신수를 믿습니다!
ETC_20160310_020921	꺄악! 벌레!
ETC_20160310_020922	그러고 보니 저자가 수상해요!
ETC_20160310_020923	도미니카스님! 이게 어떻게 된 일인가요?
ETC_20160310_020924	도미니카스의 마법진에서 글러튼이 나타났습니다!{nl}글러튼을 처치하세요!
ETC_20160310_020925	순식간에 이상한 냄새가 강하게 퍼져나갑니다!
ETC_20160310_020926	냄새에 이끌린 캐러페이스를 처치하세요!
ETC_20160310_020927	거기서!!
ETC_20160310_020928	촌장 모제
ETC_20160310_020929	당신이 어떻게 그럴 수 있어!
ETC_20160310_020930	누가 보기 전에 얼른 묻어!
ETC_20160310_020931	너희들이 왜 이 곳에..?
ETC_20160310_020932	에잇!
ETC_20160310_020933	주머니의 냄새에 이끌린 몬스터들이 몰려듭니다!
ETC_20160310_020934	무슨 일인지 몬스터들이 서로 공격하기 시작합니다!
ETC_20160310_020935	몬스터들이 몰려들었습니다{nl}길을 막아서는 몬스터를 모두 처치하세요!
ETC_20160310_020936	사마
ETC_20160310_020937	실험은 성공이다!
ETC_20160310_020938	이제 아무도 나를 막을 수 없어!
ETC_20160310_020939	저 녀석을 공격해!
ETC_20160310_020940	이런! 설마 사르마가 실험에 성공한건가요?
ETC_20160310_020941	루시엔이 위험한 것 같다!
ETC_20160310_020942	바이도타스의 중화제를 뿌리자 카너버가 괴로워합니다.{nl}카너버를 처치하고 루시엔을 구해내세요!
ETC_20160310_020943	누군가 위험에 처한 것 같습니다!
ETC_20160310_020944	몬스터를 몰아내고{nl}위험에 처한 사람을 구해내세요!
ETC_20160310_020945	도와주세요!!
ETC_20160310_020946	시약이 완성될 때 까지 루시엔을 보호하세요.
ETC_20160310_020947	갑자기 얼어붙은 병사들이 움직이기 시작합니다!
ETC_20160310_020948	당신에게 우호적이지 않은 것 같습니다{nl}병사들을 피해 네크로맨서 레미야를 찾으세요!
ETC_20160310_020949	얼어붙은 병사
ETC_20160310_020950	네크로맨서 파우스타스가 몬스터를 불러들였습니다{nl}몬스터로부터 레미야를 지키세요!
ETC_20160310_020951	파우스타스가 아도마스의 시신을 몬스터로 변이시켰습니다!
ETC_20160310_020952	싸움은 피할 수 없을 것 같습니다{nl}변이된 아도마스를 처치하세요!
ETC_20160310_020953	신경 쓸 시간은 없어.. 
ETC_20160310_020954	제발.. 말을 들어!!
ETC_20160310_020955	크리오맨서 엘르마
ETC_20160310_020956	아도마스!!
ETC_20160310_020957	마취 가루
ETC_20160310_020958	마취 가루때문에 움직이지 못합니다.
ETC_20160310_020959	지금은 불가능 합니다.
ETC_20160310_020960	대지의 뿌리
ETC_20160310_020961	몸이 지면과 단단히 결속된 느낌이 듭니다
ETC_20160310_020962	마력 고갈
ETC_20160310_020963	마력이 고갈된 상태입니다.
ETC_20160310_020964	거짓된 경전이 몬스터를 소환합니다.
ETC_20160310_020965	레벨 감소 상태입니다.
ETC_20160310_020966	채팅 방 개수가 비정상 적으로 많습니다.
ETC_20160310_020967	채팅 방 오류
ETC_20160310_020968	달가 보초
ETC_20160310_020969	루우빅 산호초
ETC_20160310_020970	다라만 석호
ETC_20160310_020971	앳스켈레 암초
ETC_20160310_020972	누가라 모래톱
ETC_20160310_020973	연구 자재 창고
ETC_20160310_020974	간이 연구 시설
ETC_20160310_020975	멘카 둔덕
ETC_20160310_020976	앤가레 오솔길
ETC_20160310_020977	오래된 캠프
ETC_20160310_020978	과즙 채집장
ETC_20160310_020979	그리갈 공터
ETC_20160310_020980	씨앗 집하장
ETC_20160310_020981	기원의 숲 입구
ETC_20160310_020982	실타스 공터
ETC_20160310_020983	주인 없는 개간지
ETC_20160310_020984	파라메스 마을
ETC_20160310_020985	버려진 농장
ETC_20160310_020986	작업 캠프
ETC_20160310_020987	약초꾼 텐트
ETC_20160310_020988	스테베 신랑
ETC_20160310_020989	앳비라 기도실
ETC_20160310_020990	네팔라 기도실
ETC_20160310_020991	비토다스 복도
ETC_20160310_020992	정원 쉼터
ETC_20160310_020993	네이빌라 정원
ETC_20160310_020994	베이라스 홀
ETC_20160310_020995	별관 연구실
ETC_20160310_020996	본원 통로
ETC_20160310_020997	나모쓰 교차주랑
ETC_20160310_020998	사제 숙소
ETC_20160310_020999	본원 도서관
ETC_20160310_021000	후문 입구
ETC_20160310_021001	베일 회랑
ETC_20160310_021002	바이메 분수
ETC_20160310_021003	파가르마 예배소
ETC_20160310_021004	수도원 안뜰
ETC_20160310_021005	본원 연구실
ETC_20160310_021006	옛 간이 작업장
ETC_20160310_021007	밍카토스 갈림길
ETC_20160310_021008	스페가 샘터
ETC_20160310_021009	병사 주둔지
ETC_20160310_021010	서겔라 숲길
ETC_20160310_021011	폐광 입구
ETC_20160310_021012	아르스 쉼터
ETC_20160310_021013	칸시아 개울가
ETC_20160310_021014	자나스
ETC_20160310_021015	비밀 장치1
ETC_20160310_021016	비밀 장치2
ETC_20160310_021017	비밀 장치3
ETC_20160310_021018	오각 기둥
ETC_20160310_021019	네크로맨서 남
ETC_20160310_021020	네크로맨서 여
ETC_20160310_021021	크리오맨서 여
ETC_20160310_021022	네크로맨서 남_2
ETC_20160310_021023	산호초
ETC_20160310_021024	푸른 산호
ETC_20160310_021025	산호 수레
ETC_20160310_021026	붉은 산호
ETC_20160310_021027	쓰러진 카너버
ETC_20160310_021028	페디미안 창고지기
ETC_20160310_021029	덩굴 덩어리
ETC_20160310_021030	바스러지는 덩굴
ETC_20160310_021031	엘고스 수도원 덩굴
ETC_20160310_021032	전투 경험담을 전한다
ETC_20160310_021033	지역 정보를 전한다
ETC_20160310_021034	강시
ETC_20160310_021035	건배
ETC_20160310_021036	좌절
ETC_20160310_021037	꽃 뿌리기
ETC_20160310_021038	감사
ETC_20160310_021039	코사크댄스
ETC_20160310_021040	쳇
ETC_20160310_021041	정리 상자를 찾은 뒤 설명서 읽기
ETC_20160310_021042	정리 상자에 연구 물품 정리
ETC_20160310_021043	유실된 연구 일지 1장 확인
ETC_20160310_021044	유실된 연구 일지 2장 확인
ETC_20160310_021045	유실된 연구 일지 3장 확인
ETC_20160310_021046	연금 마법진에 재료 올리기
ETC_20160310_021047	마력을 가두는 비석의 마력 해방
ETC_20160310_021048	연금마법진에 완성된 재료 회수
ETC_20160310_021049	항아리 안의 내용을 계속 확인하여 숨겨진 물건 찾기
ETC_20160310_021050	난민들에게 정보 수집하기
ETC_20160310_021051	수상한 주머니 수색
ETC_20160310_021052	네크로맨서 레미야 찾기
ETC_20160310_021053	레미야를 아도마스 시신에게 인도하기
ETC_20160310_021054	병사 주둔지에서 병사들이 남긴 흔적 수색
ETC_20160310_021055	얼어붙은 병사에게 깃든 마력 흡수
ETC_20160310_021056	레미야와 함께 파우스타스의 은거지로 이동
ETC_20160310_021057	편지 전달
ETC_20160310_021058	버려진 텐트 흔적 수색
ETC_20160310_021059	시약이 완성될 때 까지 루시엔 윈터스푼 보호
